WEDNESDAY, AUG 24
Senior Manager, Accounts Payable  Rubicon Project (Sales) 
Associate, Corporate Communications  Rubicon Project (Marketing) 
VP eCommerce  Faraday Future (Other) 
Stenographer  Faraday Future (Other) 
Senior Software Engineer, Frontend  Fullscreen Media (Programming) 
 
TUESDAY, AUG 23
Windows System Administrator (Contractor)  Zillow (Other) 
Software Development Engineer - MLS Data Maintenance  Zillow (Programming) 
Software Development Engineer - Data Services  Zillow (Programming) 
Software Development Engineer - Industry Development  Zillow (Programming) 
Senior Software Development Engineer - New Initiatives  Zillow (Programming) 
Senior Software Development Engineer - New Innovation  Zillow (Programming) 
Senior Data Engineer - New Innovation Team  Zillow (Programming) 
Senior DevOps Engineer  Zillow (Programming) 
Sales Operations Analyst  Zillow (Sales) 
NodeJS Developer  Weedmaps (Programming) 
Client Onboarding and Integration Lead  Mobile Majority (Other) 
DevOps Engineer  Headspace (Programming) 
Software Engineer, iOS  Headspace (Programming) 
Software Engineer, Platform  Headspace (Programming) 
Software Engineer, Web  Headspace (Programming) 
Technical Project Manager  Headspace (Product) 
Lead / Senior / Product Manager, Growth  Headspace (Product) 
Senior User Acquisition Manager  Headspace (Other) 
Content Strategist, Product + Growth  Headspace (Product) 
Sr. Closures Engineer - Advanced Mechanisms  Faraday Future (Programming) 
Senior DevOps Engineer  Thrive Market (Programming) 
Director of Digital Content  Glocap (Other) 
Senior Platform Architect   Pivotal (Other) 
 
MONDAY, AUG 22
IT Applications Engineer  Snapchat (Programming) 
 
SUNDAY, AUG 21
Technical Project Manager  RAPP (Product) 
Front End UI / UX Engineer  Videoamp (Programming) 
Node.JS Full Stack Engineer  Videoamp (Programming) 
Sr Data Engineer  Videoamp (Programming) 
DevOps Engineer  Videoamp (Programming) 
iOS Engineer  Homee (Programming) 
Business Analyst  Homee (Other) 
Backend Engineer  Homee (Programming) 
Java Web Developer  Hero Digital (Programming) 
Senior Digital Project Manager  Hero Digital (Product) 
Software Engineer (Search & Relevance)  Flipagram (Programming) 
Senior Front-End Engineer  Flipagram (Programming) 
Senior iOS Engineer  Flipagram (Programming) 
Software Engineer: JavaScript  Boulevard (Programming) 
Software Engineer: Platform  Boulevard (Programming) 
Software Engineer  Skurt (Programming) 
Software Engineer (Front-End)  Skurt (Programming) 
Senior Android Engineer  Skurt (Programming) 
Senior iOS Engineer  Skurt (Programming) 
Data Engineer  Skurt (Programming) 
Unity Mobile App Developer  Mindshow (Programming) 
Technical Artist / Asset Pipeline  Mindshow (Other) 
Technical Designer / Creative Engineer  Mindshow (Programming) 
